time, gx, gy, gz, ax, ay, az, mx, my, mz
10808650,-2.680,-3.130,-0.130,-0.160,-0.060,+9.874,+24.900,+3.900,-36.300
10808660,-2.080,-4.160,-0.280,-0.109,-0.023,+9.997,+25.800,+2.100,-33.100
10808670,-2.040,-3.390,-0.590,-0.124,-0.002,+10.106,+26.200,+1.700,-33.300
10808680,-2.990,-2.830,-0.790,-0.111,+0.014,+10.153,+26.100,+2.100,-33.000
10808690,-1.920,-2.740,-0.770,-0.124,+0.062,+10.211,+25.100,+4.000,-36.800
10808700,-1.460,-3.440,+0.070,-0.171,+0.126,+10.096,+25.800,+2.400,-33.100
10808710,-1.280,-2.240,-0.410,-0.086,-0.017,+9.932,+25.400,+2.400,-33.500
10808720,-0.260,-0.670,-0.760,-0.090,+0.103,+9.932,+24.800,+3.500,-33.800
10808730,+1.000,-2.330,-0.570,-0.114,+0.183,+10.021,+25.900,+1.900,-33.300
10808740,+1.480,-3.650,-0.120,-0.080,+0.039,+10.068,+25.100,+3.900,-36.600
10808750,+1.060,-3.870,-0.300,-0.056,+0.048,+10.029,+25.300,+3.500,-36.600
10808760,+0.180,-5.340,-0.400,-0.058,-0.004,+10.079,+25.900,+1.700,-33.100
10808770,-0.620,-4.850,-1.050,-0.023,-0.051,+10.038,+25.900,+1.400,-33.100
10808780,-0.930,-3.890,-1.200,-0.038,+0.014,+10.002,+25.800,+2.100,-33.500
10808790,-0.010,-3.740,-1.270,-0.057,+0.026,+9.992,+25.800,+2.100,-33.500
10808800,+1.980,-3.430,-1.100,-0.038,+0.057,+10.019,+25.800,+2.100,-33.000
10808810,+3.060,-2.400,-1.200,-0.044,+0.128,+10.101,+25.400,+2.400,-33.300
10808820,+3.010,-2.460,-1.370,-0.042,+0.101,+10.129,+25.800,+1.900,-33.300
10808830,+2.490,-4.250,-1.410,-0.059,+0.081,+10.160,+25.800,+2.400,-33.500
10808840,+1.860,-4.500,-1.490,-0.096,+0.104,+10.105,+25.800,+1.900,-33.800
10808850,+1.270,-2.290,-1.480,-0.026,+0.021,+10.088,+25.100,+2.200,-33.600
10808860,-0.590,+0.210,-1.730,-0.038,-0.031,+10.047,+25.400,+2.100,-33.600
10808870,-0.950,+2.830,-1.280,+0.016,-0.038,+10.040,+24.600,+3.900,-37.100
10808880,-1.220,+5.950,-1.670,-0.030,+0.050,+10.047,+25.600,+1.900,-33.500
10808890,-0.760,+7.710,-1.280,-0.009,+0.051,+10.055,+25.400,+2.100,-33.100
10808900,-0.720,+10.060,-1.230,-0.042,+0.090,+10.022,+25.600,+2.100,-33.500
10808910,-0.650,+10.510,-0.590,-0.044,+0.064,+9.993,+25.100,+3.700,-36.900
10808920,-0.030,+9.960,-1.160,-0.015,+0.076,+10.001,+25.600,+1.900,-33.300
10808930,+1.050,+7.260,-0.960,-0.097,+0.025,+9.971,+25.900,+2.100,-33.300
10808940,+1.750,+6.070,-0.970,-0.061,+0.064,+9.953,+26.100,+1.900,-33.500
10808950,+3.290,+3.800,-1.040,-0.060,+0.056,+9.968,+26.100,+2.600,-33.000
10808960,+4.570,+2.210,-1.290,-0.025,+0.170,+9.973,+25.600,+1.900,-33.300
10808970,+4.640,-0.920,-1.590,-0.071,+0.084,+10.041,+25.400,+2.200,-33.100
10808980,+4.010,-5.070,-1.610,-0.066,+0.084,+10.014,+25.800,+1.700,-33.300
10808990,+3.770,-7.860,-2.200,-0.041,+0.072,+9.976,+25.300,+3.700,-36.800
10809000,+4.830,-8.340,-2.440,-0.012,+0.076,+9.925,+25.600,+1.900,-33.500
10809010,+6.220,-8.730,-3.040,-0.058,+0.098,+9.927,+25.600,+2.200,-33.600
10809020,+6.580,-8.420,-2.460,-0.053,+0.160,+9.906,+25.600,+1.600,-33.500
10809030,+6.690,-7.720,-2.850,-0.072,+0.214,+9.870,+25.400,+1.900,-33.100
10809040,+6.030,-6.920,-2.250,-0.049,+0.208,+9.814,+25.600,+1.600,-33.500
10809050,+4.530,-5.880,-2.270,-0.007,+0.158,+9.822,+25.300,+1.400,-33.800
10809060,+5.450,-7.710,-1.720,-0.003,+0.198,+9.912,+25.400,+1.900,-33.600
10809070,+5.030,-8.120,-1.490,+0.027,+0.220,+9.958,+25.300,+1.600,-33.600
10809080,+5.000,-8.650,-1.440,+0.006,+0.176,+9.937,+25.100,+1.600,-33.800
10809090,+4.210,-7.180,-1.350,+0.048,+0.177,+9.940,+24.800,+3.100,-37.400
10809100,+3.760,-6.210,-0.980,+0.003,+0.222,+10.003,+25.300,+1.400,-33.800
10809110,+4.280,-4.850,-0.370,+0.046,+0.236,+10.000,+24.800,+1.400,-34.000
